name_of_city,state_name,population,graduates
Abohar,PUNJAB,145238,16287
Achalpur,MAHARASHTRA,112293,8863
Adilabad,ANDHRA PRADESH,117388,10565
Adityapur,JHARKHAND,173988,19225
Adoni,ANDHRA PRADESH,166537,11902
Agartala,TRIPURA,399688,52711
Agra,UTTAR PRADESH,1574542,185813
Ahmadabad,GUJARAT,5570585,769858
Ahmadnagar,MAHARASHTRA,350905,51661
Aizawl,MIZORAM,291822,26832
Ajmer,RAJASTHAN,542580,77989
Akbarpur,UTTAR PRADESH,111594,9745
Akola,MAHARASHTRA,427146,49715
Alandur,TAMIL NADU,164162,45971
Alappuzha,KERALA,174164,22263
Aligarh,UTTAR PRADESH,872575,99341
Allahabad,UTTAR PRADESH,1117094,233129
Alwar,RAJASTHAN,315310,58764
Ambala,HARYANA,196216,34943
Ambala Sadar,HARYANA,104268,20618
Ambarnath,MAHARASHTRA,254003,26596
Ambattur,TAMIL NADU,478134,97186
Ambikapur,CHHATTISGARH,114575,20857
Ambur,TAMIL NADU,113856,7813
Amravati,MAHARASHTRA,646801,91996
Amreli,GUJARAT,105980,11305
Amritsar,PUNJAB,1132761,140359
Amroha,UTTAR PRADESH,197135,13879
Anand,GUJARAT,197351,29803
Anantapur,ANDHRA PRADESH,262340,43700
Anantnag,JAMMU & KASHMIR,108505,12666
Arrah,BIHAR,261099,35354
Asansol,WEST BENGAL,564491,65625
Ashoknagar Kalyangarh,WEST BENGAL,123906,11992
Aurangabad,BIHAR,101520,13141
Aurangabad,MAHARASHTRA,1171330,159308
Avadi,TAMIL NADU,344701,51647
Azamgarh,UTTAR PRADESH,110980,19911
Badlapur,MAHARASHTRA,175516,25115
Bagaha,BIHAR,113012,3744
Bagalkot,KARNATAKA,112068,14090
Bahadurgarh,HARYANA,170426,22521
Baharampur,WEST BENGAL,195363,32154
Bahraich,UTTAR PRADESH,186241,20490
Baidyabati,WEST BENGAL,121081,17224
Baleshwar Town,ORISSA,118202,23170
Ballia,UTTAR PRADESH,104271,16114
Bally,WEST BENGAL,291972,36100
Bally City,WEST BENGAL,115715,12354
Balurghat,WEST BENGAL,151183,23732
Banda,UTTAR PRADESH,154388,24015
Bankura,WEST BENGAL,138036,19082
Bansberia,WEST BENGAL,103799,8566
Banswara,RAJASTHAN,100128,13852
Baran,RAJASTHAN,118157,11553
Baranagar,WEST BENGAL,248466,49711
Barasat,WEST BENGAL,283443,45516
Baraut,UTTAR PRADESH,102733,12672
Barddhaman,WEST BENGAL,314638,52387
Bareilly,UTTAR PRADESH,898167,110691
Baripada Town,ORISSA,110058,17589
Barnala,PUNJAB,116454,12665
Barrackpur,WEST BENGAL,154475,29910
Barshi,MAHARASHTRA,118573,13351
Basirhat,WEST BENGAL,127135,20037
Basti,UTTAR PRADESH,114651,20183
Batala,PUNJAB,156400,16436
Bathinda,PUNJAB,285813,43428
Beawar,RAJASTHAN,145809,13767
Begusarai,BIHAR,251136,24616
Belgaum,KARNATAKA,488292,64200
Bellary,KARNATAKA,409644,36855
Bengaluru,KARNATAKA,8425970,1591163
Bettiah,BIHAR,132896,13438
Betul,MADHYA PRADESH,103341,17125
Bhadrak,ORISSA,107369,13311
Bhadravati,KARNATAKA,150776,12406
Bhadreswar,WEST BENGAL,101334,9225
Bhagalpur,BIHAR,398138,49656
Bhalswa Jahangir Pur,NCT OF DELHI,197150,8348
Bharatpur,RAJASTHAN,252109,33411
Bharuch,GUJARAT,168729,14059
Bhatpara,WEST BENGAL,390467,29055
Bhavnagar,GUJARAT,593768,51875
Bhilai Nagar,CHHATTISGARH,625697,81620
Bhilwara,RAJASTHAN,360009,41788
Bhimavaram,ANDHRA PRADESH,142280,18298
Bhind,MADHYA PRADESH,197332,20470
Bhiwadi,RAJASTHAN,104883,10135
Bhiwandi,MAHARASHTRA,711329,24688
Bhiwani,HARYANA,197662,28123
Bhopal,MADHYA PRADESH,1795648,282813
Bhubaneswar Town,ORISSA,837737,200788
Bhuj,GUJARAT,147123,16457
Bhusawal,MAHARASHTRA,187750,19815
Bid,MAHARASHTRA,146237,19030
Bidar,KARNATAKA,211944,25910
Bidhan Nagar,WEST BENGAL,218323,65863
Biharsharif,BIHAR,296889,28092
Bijapur,KARNATAKA,326360,37265
Bikaner,RAJASTHAN,647804,73369
Bilaspur,CHHATTISGARH,330106,67396
Bokaro Steel City,JHARKHAND,413934,61034
Bongaon,WEST BENGAL,110668,10286
Botad,GUJARAT,130302,4578
Brahmapur Town,ORISSA,355823,50782
Budaun,UTTAR PRADESH,159221,19204
Bulandshahr,UTTAR PRADESH,222826,32546
Bundi,RAJASTHAN,102823,13148
Burari,NCT OF DELHI,145584,17914
Burhanpur,MADHYA PRADESH,210891,15203
Buxar,BIHAR,102591,12464
Champdani,WEST BENGAL,110983,7167
Chandannagar,WEST BENGAL,166949,30933
